DATE,TIME,MQ136,MQ137,TEMP,HUMI,,Start Time = 8:54,Total Time = 27h 15',
22/07/2025,11:45:09,1623,1499,34.1,99.4,7/22/2025,26.85,,
22/07/2025,11:44:58,1612,1495,34.1,99.4,7/22/2025,26.85,,
22/07/2025,11:44:46,1606,1502,34.1,99.3,7/22/2025,26.85,,
22/07/2025,11:44:33,1612,1507,34.1,99.3,7/22/2025,26.84,,
22/07/2025,11:44:19,1609,1498,34.1,99.3,7/22/2025,26.84,,
22/07/2025,11:44:07,1593,1500,34.1,99.3,7/22/2025,26.84,,
22/07/2025,11:43:55,1609,1501,34.1,99.3,7/22/2025,26.83,,
22/07/2025,11:43:42,1602,1494,34.1,99.3,7/22/2025,26.83,,
22/07/2025,11:43:30,1598,1488,34.1,99.3,7/22/2025,26.82,,
22/07/2025,11:43:17,1601,1487,34.1,99.3,7/22/2025,26.82,,
22/07/2025,11:42:58,1608,1498,34.1,99.3,7/22/2025,26.82,,
22/07/2025,11:42:46,1593,1484,34.1,99.3,7/22/2025,26.81,,
22/07/2025,11:42:33,1590,1486,34.1,99.3,7/22/2025,26.81,,
22/07/2025,11:42:20,1599,1493,34.1,99.3,7/22/2025,26.81,,
22/07/2025,11:42:09,1599,1498,34.1,99.4,7/22/2025,26.80,,
22/07/2025,11:41:56,1605,1478,34.1,99.4,7/22/2025,26.80,,
22/07/2025,11:41:40,1600,1474,34.1,99.4,7/22/2025,26.79,,
22/07/2025,11:41:27,1587,1466,34.1,99.4,7/22/2025,26.79,,
22/07/2025,11:41:15,1588,1464,34.1,99.4,7/22/2025,26.79,,
22/07/2025,11:41:04,1592,1466,34.1,99.3,7/22/2025,26.78,,
22/07/2025,11:40:52,1583,1466,34.1,99.3,7/22/2025,26.78,,
22/07/2025,11:40:42,1588,1461,34.1,99.3,7/22/2025,26.78,,
22/07/2025,11:40:31,1588,1464,34.1,99.3,7/22/2025,26.78,,
22/07/2025,11:40:20,1583,1458,34.1,99.3,7/22/2025,26.77,,
22/07/2025,11:40:09,1595,1450,34.1,99.4,7/22/2025,26.77,,
22/07/2025,11:39:57,1587,1448,34.1,99.3,7/22/2025,26.77,,
22/07/2025,11:39:47,1581,1445,34.1,99.3,7/22/2025,26.76,,
22/07/2025,11:39:34,1570,1435,34.1,99.3,7/22/2025,26.76,,
22/07/2025,11:39:20,1577,1433,34.1,99.2,7/22/2025,26.76,,
22/07/2025,11:39:06,1564,1444,34.1,99.2,7/22/2025,26.75,,
22/07/2025,11:38:53,1562,1438,34.1,99.2,7/22/2025,26.75,,
22/07/2025,11:38:41,1568,1425,34.1,99.2,7/22/2025,26.74,,
22/07/2025,11:38:28,1585,1439,34.1,99.2,7/22/2025,26.74,,
22/07/2025,11:38:15,1582,1435,34.1,99.1,7/22/2025,26.74,,
22/07/2025,11:38:02,1573,1420,34.1,99.1,7/22/2025,26.73,,
22/07/2025,11:37:49,1565,1437,34.1,99.1,7/22/2025,26.73,,
22/07/2025,11:37:38,1573,1422,34.1,99.1,7/22/2025,26.73,,
22/07/2025,11:37:26,1566,1425,34.1,99.1,7/22/2025,26.72,,
22/07/2025,11:37:15,1562,1416,34.1,99.1,7/22/2025,26.72,,
22/07/2025,11:37:04,1571,1428,34.1,99,7/22/2025,26.72,,
22/07/2025,11:36:53,1579,1436,34.1,99.1,7/22/2025,26.71,,
22/07/2025,11:36:42,1569,1417,34.1,99,7/22/2025,26.71,,
22/07/2025,11:36:29,1568,1436,34.1,99,7/22/2025,26.71,,
22/07/2025,11:36:16,1575,1420,34.1,98.9,7/22/2025,26.70,,
22/07/2025,11:36:04,1575,1412,34.1,99,7/22/2025,26.70,,
22/07/2025,11:35:52,1591,1429,34.1,99.1,7/22/2025,26.70,,
22/07/2025,11:35:42,1594,1444,34.1,99,7/22/2025,26.69,,
22/07/2025,11:35:26,1577,1440,34.1,99,7/22/2025,26.69,,
22/07/2025,11:35:16,1582,1464,34.1,99,7/22/2025,26.69,,
22/07/2025,11:35:04,1582,1439,34.1,99,7/22/2025,26.68,,
22/07/2025,11:34:52,1584,1453,34.1,99,7/22/2025,26.68,,
22/07/2025,11:34:41,1585,1448,34.1,98.9,7/22/2025,26.68,,
22/07/2025,11:34:29,1578,1420,34.1,98.9,7/22/2025,26.67,,
22/07/2025,11:34:19,1580,1440,34.1,98.9,7/22/2025,26.67,,
22/07/2025,11:34:08,1570,1447,34.1,98.9,7/22/2025,26.67,,
22/07/2025,11:33:58,1579,1439,34.1,98.9,7/22/2025,26.67,,
22/07/2025,11:33:47,1575,1446,34.1,98.9,7/22/2025,26.66,,
22/07/2025,11:33:37,1599,1446,34.1,99,7/22/2025,26.66,,
22/07/2025,11:33:26,1593,1450,34.1,99,7/22/2025,26.66,,
22/07/2025,11:33:15,1606,1454,34.1,99,7/22/2025,26.65,,
22/07/2025,11:33:04,1599,1458,34.1,99.1,7/22/2025,26.65,,
22/07/2025,11:32:53,1605,1477,34.2,99.1,7/22/2025,26.65,,
22/07/2025,11:32:42,1592,1463,34.1,99.1,7/22/2025,26.64,,
22/07/2025,11:32:31,1590,1473,34.1,99.1,7/22/2025,26.64,,
22/07/2025,11:32:20,1588,1459,34.1,99.1,7/22/2025,26.64,,
22/07/2025,11:32:08,1594,1460,34.1,99,7/22/2025,26.64,,
22/07/2025,11:31:58,1575,1459,34.1,99.1,7/22/2025,26.63,,
22/07/2025,11:31:47,1593,1456,34.1,99.1,7/22/2025,26.63,,
22/07/2025,11:31:36,1581,1461,34.1,99.1,7/22/2025,26.63,,
22/07/2025,11:31:26,1595,1447,34.1,99.1,7/22/2025,26.62,,
22/07/2025,11:31:15,1581,1453,34.1,99.1,7/22/2025,26.62,,
22/07/2025,11:31:04,1583,1453,34.1,99.1,7/22/2025,26.62,,
22/07/2025,11:30:54,1574,1449,34.1,99.1,7/22/2025,26.61,,
22/07/2025,11:30:43,1576,1434,34.1,99,7/22/2025,26.61,,
22/07/2025,11:30:32,1580,1446,34.1,99.1,7/22/2025,26.61,,
22/07/2025,11:30:22,1582,1434,34.1,99.1,7/22/2025,26.61,,
22/07/2025,11:30:11,1571,1448,34.1,99.1,7/22/2025,26.60,,
22/07/2025,11:30:00,1574,1437,34.1,99.1,7/22/2025,26.60,,
22/07/2025,11:29:49,1571,1430,34.1,99,7/22/2025,26.60,,
22/07/2025,11:29:38,1569,1434,34.1,99.1,7/22/2025,26.59,,
22/07/2025,11:29:28,1555,1417,34.1,99.1,7/22/2025,26.59,,
22/07/2025,11:29:16,1551,1431,34.1,99.1,7/22/2025,26.59,,
22/07/2025,11:29:03,1561,1425,34.1,99.1,7/22/2025,26.58,,
22/07/2025,11:28:50,1558,1422,34.1,99.1,7/22/2025,26.58,,
22/07/2025,11:28:37,1534,1416,34.1,99.1,7/22/2025,26.58,,
22/07/2025,11:28:25,1544,1414,34.1,99.1,7/22/2025,26.57,,
22/07/2025,11:28:12,1541,1426,34.1,99,7/22/2025,26.57,,
22/07/2025,11:27:58,1536,1421,34.1,99,7/22/2025,26.57,,
22/07/2025,11:27:46,1542,1411,34.1,99,7/22/2025,26.56,,
22/07/2025,11:27:34,1521,1399,34.1,98.9,7/22/2025,26.56,,
22/07/2025,11:27:22,1519,1392,34.1,98.9,7/22/2025,26.56,,
22/07/2025,11:27:09,1511,1387,34.1,98.8,7/22/2025,26.55,,
22/07/2025,11:26:44,1513,1405,34.1,98.8,7/22/2025,26.55,,
22/07/2025,11:26:30,1522,1382,34.1,98.9,7/22/2025,26.54,,
22/07/2025,11:26:17,1515,1397,34.1,98.9,7/22/2025,26.54,,
22/07/2025,11:26:05,1522,1396,34.1,98.8,7/22/2025,26.53,,
22/07/2025,11:25:54,1524,1399,34.1,98.8,7/22/2025,26.53,,
22/07/2025,11:25:43,1513,1379,34.1,98.8,7/22/2025,26.53,,
22/07/2025,11:25:32,1513,1381,34,98.7,7/22/2025,26.53,,
22/07/2025,11:25:22,1510,1381,34.1,98.7,7/22/2025,26.52,,
22/07/2025,11:24:57,1512,1392,34,98.5,7/22/2025,26.52,,
22/07/2025,11:24:46,1501,1393,34,98.5,7/22/2025,26.51,,
22/07/2025,11:24:35,1503,1390,34.1,98.5,7/22/2025,26.51,,
22/07/2025,11:24:25,1509,1376,34,98.6,7/22/2025,26.51,,
22/07/2025,11:24:13,1508,1386,34.1,98.7,7/22/2025,26.50,,
22/07/2025,11:24:03,1513,1384,34,98.6,7/22/2025,26.50,,
22/07/2025,11:23:47,1505,1361,34.1,98.6,7/22/2025,26.50,,
22/07/2025,11:23:36,1518,1376,34,98.7,7/22/2025,26.49,,
22/07/2025,11:23:25,1515,1370,34.1,98.6,7/22/2025,26.49,,
22/07/2025,11:23:14,1514,1382,34.1,98.6,7/22/2025,26.49,,
22/07/2025,11:23:02,1505,1373,34.1,98.6,7/22/2025,26.48,,
22/07/2025,11:22:51,1506,1364,34,98.5,7/22/2025,26.48,,
22/07/2025,11:22:41,1502,1372,34,98.5,7/22/2025,26.48,,
22/07/2025,11:22:30,1502,1365,34.1,98.4,7/22/2025,26.48,,
22/07/2025,11:22:19,1496,1363,34.1,98.4,7/22/2025,26.47,,
22/07/2025,11:22:09,1497,1359,34.1,98.3,7/22/2025,26.47,,
22/07/2025,11:21:58,1492,1379,34.1,98.2,7/22/2025,26.47,,
22/07/2025,11:21:47,1501,1384,34.1,98.2,7/22/2025,26.46,,
22/07/2025,11:21:36,1514,1378,34.1,98.2,7/22/2025,26.46,,
22/07/2025,11:21:25,1512,1412,34.1,98.2,7/22/2025,26.46,,
22/07/2025,11:21:13,1513,1417,34.1,98.3,7/22/2025,26.45,,
22/07/2025,11:21:00,1540,1424,34.1,98.4,7/22/2025,26.45,,
22/07/2025,11:20:47,1532,1417,34.1,98.4,7/22/2025,26.45,,
22/07/2025,11:20:34,1560,1440,34.1,98.4,7/22/2025,26.44,,
22/07/2025,11:20:21,1559,1447,34.1,98.5,7/22/2025,26.44,,
22/07/2025,11:20:08,1561,1466,34.1,98.5,7/22/2025,26.44,,
22/07/2025,11:19:55,1569,1447,34.1,98.6,7/22/2025,26.43,,
22/07/2025,11:19:42,1564,1441,34.1,98.5,7/22/2025,26.43,,
22/07/2025,11:19:30,1557,1465,34.1,98.5,7/22/2025,26.43,,
22/07/2025,11:19:17,1548,1493,34.1,98.5,7/22/2025,26.42,,
22/07/2025,11:19:04,1541,1424,34.1,98.5,7/22/2025,26.42,,
22/07/2025,11:18:51,1530,1413,34.1,98.5,7/22/2025,26.41,,
22/07/2025,11:18:37,1531,1406,34.1,98.5,7/22/2025,26.41,,
22/07/2025,11:18:23,1529,1424,34.1,98.4,7/22/2025,26.41,,
22/07/2025,11:18:10,1517,1414,34.1,98.4,7/22/2025,26.40,,
22/07/2025,11:17:56,1510,1408,34.1,98.4,7/22/2025,26.40,,
22/07/2025,11:17:43,1504,1402,34.1,98.2,7/22/2025,26.40,,
22/07/2025,11:17:30,1515,1413,34.1,98.2,7/22/2025,26.39,,
22/07/2025,11:17:19,1512,1402,34.1,98.2,7/22/2025,26.39,,
22/07/2025,11:17:08,1499,1417,34.1,98.2,7/22/2025,26.39,,
22/07/2025,11:16:57,1499,1403,34.1,98.2,7/22/2025,26.38,,
22/07/2025,11:16:46,1511,1411,34.1,98.2,7/22/2025,26.38,,
22/07/2025,11:16:34,1523,1406,34.1,98.2,7/22/2025,26.38,,
22/07/2025,11:16:23,1508,1411,34.1,98.2,7/22/2025,26.37,,
22/07/2025,11:16:13,1505,1408,34.1,98.3,7/22/2025,26.37,,
22/07/2025,11:15:56,1515,1421,34.1,98.3,7/22/2025,26.37,,
22/07/2025,11:15:44,1513,1419,34.1,98.2,7/22/2025,26.36,,
22/07/2025,11:15:31,1524,1418,34.1,98.2,7/22/2025,26.36,,
22/07/2025,11:15:18,1511,1422,34.1,98.2,7/22/2025,26.35,,
22/07/2025,11:15:06,1513,1426,34.1,98.3,7/22/2025,26.35,,
22/07/2025,11:14:53,1529,1430,34.1,98.3,7/22/2025,26.35,,
22/07/2025,11:14:40,1519,1422,34.1,98.2,7/22/2025,26.34,,
22/07/2025,11:14:28,1529,1419,34.1,98.2,7/22/2025,26.34,,
22/07/2025,11:14:15,1517,1418,34.1,98.2,7/22/2025,26.34,,
22/07/2025,11:14:04,1527,1424,34.1,98.2,7/22/2025,26.33,,
22/07/2025,11:13:51,1525,1422,34.1,98.2,7/22/2025,26.33,,
22/07/2025,11:13:38,1523,1415,34.1,98.2,7/22/2025,26.33,,
22/07/2025,11:13:27,1516,1424,34.1,98.2,7/22/2025,26.32,,
22/07/2025,11:13:16,1532,1432,34.1,98.2,7/22/2025,26.32,,
22/07/2025,11:13:05,1528,1425,34.1,98.2,7/22/2025,26.32,,
22/07/2025,11:12:53,1506,1404,34.1,98.2,7/22/2025,26.31,,
22/07/2025,11:12:42,1520,1420,34.1,98.1,7/22/2025,26.31,,
22/07/2025,11:12:30,1501,1423,34.1,98.1,7/22/2025,26.31,,
22/07/2025,11:12:19,1528,1418,34.1,98.2,7/22/2025,26.31,,
22/07/2025,11:12:08,1533,1441,34.1,98.2,7/22/2025,26.30,,
22/07/2025,11:11:57,1522,1429,34.1,98.2,7/22/2025,26.30,,
22/07/2025,11:11:46,1519,1415,34.1,98.2,7/22/2025,26.30,,
22/07/2025,11:11:35,1524,1417,34.1,98.1,7/22/2025,26.29,,
22/07/2025,11:11:24,1520,1428,34.1,98.1,7/22/2025,26.29,,
22/07/2025,11:11:13,1516,1431,34.1,98.1,7/22/2025,26.29,,
22/07/2025,11:11:02,1522,1419,34.1,98.1,7/22/2025,26.28,,
22/07/2025,11:10:50,1526,1414,34.1,98.1,7/22/2025,26.28,,
22/07/2025,11:10:39,1522,1426,34.1,98.1,7/22/2025,26.28,,
22/07/2025,11:10:28,1517,1414,34.1,98.1,7/22/2025,26.27,,
22/07/2025,11:10:17,1507,1412,34.1,98.1,7/22/2025,26.27,,
22/07/2025,11:10:06,1517,1396,34.1,98.1,7/22/2025,26.27,,
22/07/2025,11:09:56,1517,1409,34.1,98.1,7/22/2025,26.27,,
22/07/2025,11:09:45,1495,1398,34.1,98,7/22/2025,26.26,,
22/07/2025,11:09:34,1504,1395,34.1,98.1,7/22/2025,26.26,,
22/07/2025,11:09:23,1512,1374,34.1,98.1,7/22/2025,26.26,,
22/07/2025,11:09:12,1521,1400,34.1,98.1,7/22/2025,26.25,,
22/07/2025,11:08:59,1513,1397,34.1,98.2,7/22/2025,26.25,,
22/07/2025,11:08:48,1511,1400,34.1,98.2,7/22/2025,26.25,,
22/07/2025,11:08:37,1507,1386,34.1,98.1,7/22/2025,26.24,,
22/07/2025,11:08:25,1510,1381,34.1,98.1,7/22/2025,26.24,,
22/07/2025,11:08:13,1511,1380,34.1,98.1,7/22/2025,26.24,,
22/07/2025,11:08:03,1488,1377,34.1,98.1,7/22/2025,26.23,,
22/07/2025,11:07:52,1498,1368,34.1,98,7/22/2025,26.23,,
22/07/2025,11:07:40,1501,1380,34.1,98,7/22/2025,26.23,,
22/07/2025,11:07:29,1508,1381,34.1,98,7/22/2025,26.22,,
22/07/2025,11:07:17,1496,1398,34.1,97.9,7/22/2025,26.22,,
22/07/2025,11:07:06,1520,1364,34.1,98,7/22/2025,26.22,,
22/07/2025,11:06:55,1481,1348,34.1,98,7/22/2025,26.22,,
22/07/2025,11:06:44,1516,1370,34.1,98,7/22/2025,26.21,,
22/07/2025,11:06:33,1501,1364,34.1,98,7/22/2025,26.21,,
22/07/2025,11:06:22,1505,1373,34.1,98,7/22/2025,26.21,,
22/07/2025,11:06:11,1515,1378,34.1,98.1,7/22/2025,26.20,,
22/07/2025,11:05:59,1497,1354,34.1,98.1,7/22/2025,26.20,,
22/07/2025,11:05:48,1509,1359,34.1,98.1,7/22/2025,26.20,,
22/07/2025,11:05:37,1506,1353,34.1,98.1,7/22/2025,26.19,,
22/07/2025,11:05:26,1508,1329,34.1,98.1,7/22/2025,26.19,,
22/07/2025,11:05:15,1498,1335,34.1,98.1,7/22/2025,26.19,,
22/07/2025,11:05:04,1506,1341,34.1,98.1,7/22/2025,26.18,,
22/07/2025,11:04:53,1499,1342,34.1,98,7/22/2025,26.18,,
22/07/2025,11:04:42,1499,1338,34.1,98,7/22/2025,26.18,,
22/07/2025,11:04:32,1495,1343,34.1,98,7/22/2025,26.18,,
22/07/2025,11:04:21,1492,1326,34.1,98,7/22/2025,26.17,,
22/07/2025,11:04:09,1490,1322,34.1,98,7/22/2025,26.17,,
22/07/2025,11:03:58,1496,1313,34.1,98.1,7/22/2025,26.17,,
22/07/2025,11:03:47,1493,1310,34.1,98,7/22/2025,26.16,,
22/07/2025,11:03:35,1481,1309,34.1,98.1,7/22/2025,26.16,,
22/07/2025,11:03:24,1487,1299,34.1,98,7/22/2025,26.16,,
22/07/2025,11:03:12,1498,1305,34.1,98,7/22/2025,26.15,,
22/07/2025,11:03:00,1474,1295,34.1,98,7/22/2025,26.15,,
22/07/2025,11:02:50,1480,1287,34.1,97.9,7/22/2025,26.15,,
22/07/2025,11:02:39,1485,1284,34.1,98,7/22/2025,26.14,,
22/07/2025,11:02:28,1489,1301,34.1,98,7/22/2025,26.14,,
22/07/2025,11:02:17,1481,1300,34.1,98,7/22/2025,26.14,,
22/07/2025,11:02:06,1489,1292,34.1,98,7/22/2025,26.14,,
22/07/2025,11:01:55,1484,1280,34.1,98,7/22/2025,26.13,,
22/07/2025,11:01:43,1494,1293,34.1,98,7/22/2025,26.13,,
